REGION,YEAR,WEEK,ILITOTAL,TOTAL PATIENTS,RATIO
Illinois,2015,26,448,40243,0.9021709327129847
Illinois,2015,27,435,41592,0.9742691575851928
Illinois,2015,28,437,42473,0.9120188829462152
Illinois,2015,29,415,41467,0.8979802270474667
Illinois,2015,30,432,40585,0.9136427334617758
Illinois,2015,31,438,39113,0.9042335738298672
Illinois,2015,32,412,41705,0.9498251081330886
Illinois,2015,33,384,42602,0.9443711692140585
Illinois,2015,34,450,42529,0.9220912500813054
Illinois,2015,35,428,41970,0.8926906565611806
Illinois,2015,36,500,40875,0.8997639151562067
Illinois,2015,37,643,43810,0.9092355586302318
Illinois,2015,38,609,42763,0.8930027617242765
Illinois,2015,39,542,42332,0.8891596126782751
Illinois,2015,40,833,50853,0.8767619082985416
Illinois,2015,41,908,51632,0.8996942560073131
Illinois,2015,42,806,50243,0.8611897083215767
Illinois,2015,43,842,47425,0.8090847411361898
Illinois,2015,44,920,51197,0.8764670094078233
Illinois,2015,45,1020,50541,0.852139775030835
Illinois,2015,46,978,51610,0.8896942500659716
Illinois,2015,47,830,40525,0.7817624136733671
Illinois,2015,48,1057,51760,0.9165004957885218
Illinois,2015,49,1119,51779,0.8835148594124488
Illinois,2015,50,1008,46511,0.8457160520765147
Illinois,2015,51,1041,39103,0.7358337893039428
Illinois,2015,52,1034,40520,0.8194785617276941
Illinois,2016,1,1178,48185,0.9111862345645789
Illinois,2016,2,1217,43598,0.802393700609043
Illinois,2016,3,1238,48322,0.8797679668812216
Illinois,2016,4,1402,50944,0.9198784370155955
Illinois,2016,5,1551,50924,0.950204175368341
Illinois,2016,6,1699,51037,0.9042539997519534
Illinois,2016,7,2003,51686,0.9246611914172163
Illinois,2016,8,1989,51161,0.9035251572796963
Illinois,2016,9,2162,51838,0.909364963700645
Illinois,2016,10,2093,53528,0.9340982981590908
Illinois,2016,11,1642,49329,0.8897826038695068
Illinois,2016,12,1335,47886,0.8844168132364599
Illinois,2016,13,1246,48786,0.9309881670094284
Illinois,2016,14,1029,48984,0.9158587362198779
Illinois,2016,15,955,49589,0.9337956028866015
Illinois,2016,16,894,49928,0.9635891269169673
Illinois,2016,17,800,49573,0.9391972834720258
